id,title,description,creationDate,startDate,dueDate,completedDate,estimationTime,status,priority,progress,itemtags,assignedUserIds,projectId,totalTimeSpent
1492,Write unit tests,Cover business logic with JUnit,2025-03-25,2025-03-29,2025-04-11,,355,IN_PROGRESS,LOW,30.7,testing,user35,70,229
1493,Fix login bug,Resolve null pointer in login logic,2024-11-30,2024-12-02,2024-12-22,,323,TO_DO,LOW,0.0,bug,"user15, user50, user29",56,0
1494,Immediate API fix,Resolve endpoint failure immediately,2025-05-08,2025-05-08,2025-05-18,,2344,TO_DO,MEDIUM,0.0,urgent,user5,2,0
1495,Add rate limiting,Protect endpoints with request limits,2024-11-11,2024-11-16,2024-11-23,,86,TO_DO,LOW,0.0,api,"user17, user34, user45",33,0
1496,Design schema,Create relational schema for new feature,2025-03-23,2025-03-26,2025-04-15,,154,IN_PROGRESS,LOW,74.1,database,"user40, user1",86,56
1497,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-04-21,2025-04-26,2025-05-12,,426,IN_PROGRESS,MEDIUM,26.0,frontend,"user37, user15, user1",41,193
1498,Design schema,Create relational schema for new feature,2025-02-07,2025-02-12,2025-02-25,,107,IN_PROGRESS,MEDIUM,74.2,database,"user5, user1, user27",96,85
1499,Document API,Write OpenAPI docs for endpoints,2025-02-03,2025-02-06,2025-02-18,,438,TO_DO,HIGH,0.0,api,user42,100,0
1500,Migrate data,Transfer data from legacy system,2025-04-01,2025-04-06,2025-04-18,,225,TO_DO,LOW,0.0,database,"user24, user29",32,0
1501,Configure Docker,Containerize the application,2025-03-15,2025-03-18,2025-03-21,,1649,CANCELLED,LOW,9.6,devops,user33,81,0
1502,Immediate API fix,Resolve endpoint failure immediately,2025-01-02,2025-01-06,2025-01-16,2025-01-16,2109,DONE,HIGH,100.0,urgent,user17,85,2044
1503,Document API,Write OpenAPI docs for endpoints,2025-02-27,2025-03-02,2025-03-13,2025-03-12,271,DONE,MEDIUM,100.0,api,"user14, user40",36,295
1504,Write unit tests,Cover business logic with JUnit,2025-03-25,2025-03-30,2025-04-06,,409,TO_DO,HIGH,0.0,testing,"user30, user32, user18",16,0
1505,Write unit tests,Cover business logic with JUnit,2025-05-04,2025-05-08,2025-05-25,,435,IN_PROGRESS,MEDIUM,74.5,testing,user38,96,319
1506,Write unit tests,Cover business logic with JUnit,2024-12-21,2024-12-26,2024-12-29,2024-12-27,74,DONE,CRITICAL,100.0,testing,"user23, user6",64,62
1507,Fix login bug,Resolve null pointer in login logic,2025-02-12,2025-02-14,2025-02-27,,244,TO_DO,MEDIUM,0.0,bug,user23,26,0
1508,Debug memory leak,Track and fix memory usage issue,2024-12-30,2025-01-04,2025-01-14,,409,BLOCKED,CRITICAL,20.6,bug,"user38, user35, user44",90,0
1509,Configure Docker,Containerize the application,2025-01-10,2025-01-10,2025-01-28,,1610,TO_DO,MEDIUM,0.0,devops,user21,76,0
1510,Document API,Write OpenAPI docs for endpoints,2024-11-29,2024-12-02,2024-12-12,,346,IN_PROGRESS,LOW,23.5,api,"user7, user5",74,128
1511,Implement JWT auth,Add token-based authentication,2025-02-01,2025-02-05,2025-02-16,,366,TO_DO,HIGH,0.0,security,"user1, user50, user33",45,0
1512,Debug memory leak,Track and fix memory usage issue,2025-04-05,2025-04-09,2025-04-25,,76,TO_DO,HIGH,0.0,bug,user49,50,0
1513,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-16,2025-03-20,2025-03-24,,169,TO_DO,MEDIUM,0.0,frontend,"user46, user41",72,0
1514,Migrate data,Transfer data from legacy system,2025-05-11,2025-05-14,2025-05-18,,430,TO_DO,LOW,0.0,database,user35,10,0
1515,Add rate limiting,Protect endpoints with request limits,2025-01-05,2025-01-08,2025-01-24,2025-01-24,238,DONE,LOW,100.0,api,"user42, user28",66,244
1516,Fix login bug,Resolve null pointer in login logic,2024-12-16,2024-12-18,2025-01-07,2025-01-06,166,DONE,LOW,100.0,bug,"user23, user5, user35",16,175
1517,Implement JWT auth,Add token-based authentication,2025-01-20,2025-01-23,2025-02-06,,192,TO_DO,MEDIUM,0.0,security,"user21, user3, user5",36,0
1518,Implement API endpoint,Develop REST endpoint for user service,2024-12-12,2024-12-15,2024-12-29,,1529,TO_DO,MEDIUM,0.0,backend,"user27, user36, user47",6,0
1519,Add rate limiting,Protect endpoints with request limits,2025-02-03,2025-02-06,2025-02-20,,415,TO_DO,MEDIUM,0.0,api,"user21, user41, user50",7,0
1520,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-03-13,2025-03-15,2025-03-22,,1112,IN_PROGRESS,HIGH,20.3,devops,user27,22,442
1521,Urgent hotfix,Patch production bug under SLA,2025-03-27,2025-03-27,2025-04-05,,2038,IN_PROGRESS,CRITICAL,66.9,urgent,user8,88,994
1522,Implement React component,Create responsive component with hooks,2025-02-04,2025-02-07,2025-02-12,,259,IN_PROGRESS,MEDIUM,40.0,frontend,"user2, user47, user10",46,111
1523,Implement API endpoint,Develop REST endpoint for user service,2025-02-26,2025-03-02,2025-03-12,,1998,IN_PROGRESS,LOW,84.9,backend,user22,75,753
1524,Configure Docker,Containerize the application,2025-05-06,2025-05-08,2025-05-26,,1934,TO_DO,LOW,0.0,devops,user9,74,0
1525,Design schema,Create relational schema for new feature,2025-02-28,2025-03-05,2025-03-21,2025-03-18,454,DONE,LOW,100.0,database,user9,10,479
1526,Fix login bug,Resolve null pointer in login logic,2025-01-04,2025-01-08,2025-01-20,,350,IN_PROGRESS,MEDIUM,27.2,bug,user42,70,152
1527,Add rate limiting,Protect endpoints with request limits,2025-05-08,2025-05-11,2025-05-17,,290,TO_DO,MEDIUM,0.0,api,user48,16,0
1528,Design schema,Create relational schema for new feature,2025-02-16,2025-02-19,2025-03-03,,340,IN_PROGRESS,LOW,44.8,database,"user41, user37, user29",5,211
1529,Fix login bug,Resolve null pointer in login logic,2025-03-06,2025-03-06,2025-03-26,,406,IN_PROGRESS,CRITICAL,65.2,bug,"user21, user49",70,151
1530,Design schema,Create relational schema for new feature,2025-02-06,2025-02-08,2025-02-27,,349,TO_DO,MEDIUM,0.0,database,"user28, user30",49,0
1531,Setup integration tests,Test service interactions end-to-end,2025-01-22,2025-01-25,2025-02-08,,379,IN_PROGRESS,CRITICAL,80.3,testing,"user45, user34",14,200
1532,Apply security patch,Update libraries for vulnerability,2025-03-14,2025-03-15,2025-04-04,2025-04-02,479,DONE,HIGH,100.0,security,user23,5,532
1533,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-02-11,2025-02-13,2025-02-19,,206,TO_DO,HIGH,0.0,frontend,"user19, user28",6,0
1534,Add rate limiting,Protect endpoints with request limits,2025-01-17,2025-01-22,2025-02-11,,420,IN_PROGRESS,LOW,13.6,api,"user41, user27",16,317
1535,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-02-17,2025-02-21,2025-03-12,,703,IN_PROGRESS,HIGH,34.0,devops,user7,91,460
1536,Write unit tests,Cover business logic with JUnit,2024-12-22,2024-12-26,2025-01-14,2025-01-14,277,DONE,LOW,100.0,testing,"user15, user29",29,267
1537,Migrate data,Transfer data from legacy system,2025-02-24,2025-02-24,2025-03-02,,356,TO_DO,HIGH,0.0,database,"user22, user46, user42",66,0
1538,Configure Docker,Containerize the application,2025-03-08,2025-03-11,2025-03-31,,2478,IN_PROGRESS,MEDIUM,42.9,devops,"user34, user30",83,1457
1539,Setup integration tests,Test service interactions end-to-end,2025-03-10,2025-03-12,2025-03-27,,469,TO_DO,MEDIUM,0.0,testing,user46,19,0
1540,Urgent hotfix,Patch production bug under SLA,2025-04-03,2025-04-03,2025-04-21,,1873,IN_PROGRESS,MEDIUM,75.0,urgent,"user41, user40, user35",92,1349
1541,Immediate API fix,Resolve endpoint failure immediately,2025-01-08,2025-01-09,2025-01-24,2025-01-23,1693,DONE,MEDIUM,100.0,urgent,"user23, user1, user6",3,1520
1542,Fix CSS layout issue,Resolve flexbox misalignment in UI,2024-12-21,2024-12-24,2025-01-13,2025-01-12,415,DONE,LOW,100.0,frontend,user36,38,344
1543,Fix CSS layout issue,Resolve flexbox misalignment in UI,2024-12-31,2025-01-03,2025-01-09,,141,TO_DO,MEDIUM,0.0,frontend,"user5, user23",25,0
1544,Design schema,Create relational schema for new feature,2024-12-13,2024-12-13,2024-12-25,2024-12-25,431,DONE,HIGH,100.0,database,"user35, user41",34,371
1545,Urgent hotfix,Patch production bug under SLA,2024-12-29,2024-12-30,2025-01-16,,556,IN_PROGRESS,MEDIUM,79.6,urgent,user42,61,171
1546,Add rate limiting,Protect endpoints with request limits,2025-03-19,2025-03-22,2025-04-09,2025-04-09,346,DONE,MEDIUM,100.0,api,"user47, user29",73,414
1547,Write unit tests,Cover business logic with JUnit,2025-03-30,2025-03-30,2025-04-16,,375,IN_PROGRESS,LOW,43.3,testing,user2,39,218
1548,Add rate limiting,Protect endpoints with request limits,2025-01-21,2025-01-26,2025-02-12,,191,IN_PROGRESS,MEDIUM,53.1,api,user30,28,87
1549,Debug memory leak,Track and fix memory usage issue,2024-12-26,2024-12-26,2025-01-04,,445,TO_DO,MEDIUM,0.0,bug,user4,78,0
1550,Configure Docker,Containerize the application,2025-03-10,2025-03-12,2025-03-25,,2163,IN_PROGRESS,MEDIUM,14.5,devops,"user50, user40",15,880
1551,Migrate data,Transfer data from legacy system,2024-12-26,2024-12-26,2025-01-04,,140,ARCHIVED,MEDIUM,100.0,database,"user34, user15",50,0
1552,Urgent hotfix,Patch production bug under SLA,2025-03-30,2025-03-30,2025-04-06,,2156,CANCELLED,HIGH,1.1,urgent,"user5, user16",48,0
1553,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-05-03,2025-05-08,2025-05-15,,262,IN_PROGRESS,LOW,57.0,frontend,"user10, user31",29,145
1554,Implement React component,Create responsive component with hooks,2025-04-02,2025-04-07,2025-04-16,,264,IN_PROGRESS,CRITICAL,47.2,frontend,user24,47,185
1555,Apply security patch,Update libraries for vulnerability,2024-12-21,2024-12-21,2025-01-02,,460,IN_PROGRESS,LOW,89.8,security,"user13, user31",32,264
1556,Optimize DB queries,Improve performance of complex joins,2025-03-11,2025-03-11,2025-03-17,,2267,TO_DO,HIGH,0.0,backend,user35,92,0
1557,Implement React component,Create responsive component with hooks,2024-11-24,2024-11-29,2024-12-14,,79,IN_PROGRESS,LOW,27.5,frontend,user13,41,31
1558,Design schema,Create relational schema for new feature,2025-04-04,2025-04-05,2025-04-14,,248,IN_PROGRESS,LOW,51.1,database,"user30, user31, user49",15,151
1559,Migrate data,Transfer data from legacy system,2025-03-10,2025-03-10,2025-03-16,,164,IN_PROGRESS,MEDIUM,16.0,database,user40,42,55
1560,Immediate API fix,Resolve endpoint failure immediately,2025-02-24,2025-02-28,2025-03-11,,2554,BLOCKED,LOW,5.1,urgent,user39,9,0
1561,Immediate API fix,Resolve endpoint failure immediately,2025-04-19,2025-04-24,2025-05-08,,2621,TO_DO,MEDIUM,0.0,urgent,"user33, user17, user20",31,0
1562,Design schema,Create relational schema for new feature,2024-12-25,2024-12-26,2025-01-01,2025-01-01,81,DONE,LOW,100.0,database,user49,23,71
1563,Implement JWT auth,Add token-based authentication,2024-11-19,2024-11-21,2024-12-07,,437,IN_PROGRESS,LOW,89.3,security,user12,25,329
1564,Immediate API fix,Resolve endpoint failure immediately,2025-05-11,2025-05-12,2025-05-27,2025-05-24,1263,DONE,MEDIUM,100.0,urgent,"user12, user36, user41",84,1321
1565,Implement JWT auth,Add token-based authentication,2025-04-26,2025-04-30,2025-05-12,2025-05-11,360,DONE,MEDIUM,100.0,security,"user25, user40, user10",35,380
1566,Write unit tests,Cover business logic with JUnit,2025-03-22,2025-03-27,2025-04-10,,327,BLOCKED,LOW,19.7,testing,"user41, user29, user1",65,0
1567,Write unit tests,Cover business logic with JUnit,2025-03-26,2025-03-29,2025-04-08,,80,TO_DO,MEDIUM,0.0,testing,user10,48,0
1568,Implement React component,Create responsive component with hooks,2025-04-05,2025-04-08,2025-04-18,,330,TO_DO,LOW,0.0,frontend,user1,90,0
1569,Document API,Write OpenAPI docs for endpoints,2025-02-10,2025-02-10,2025-02-17,,299,TO_DO,MEDIUM,0.0,api,"user7, user22",7,0
1570,Add rate limiting,Protect endpoints with request limits,2025-03-19,2025-03-22,2025-03-30,,166,TO_DO,LOW,0.0,api,"user9, user48",33,0
1571,Document API,Write OpenAPI docs for endpoints,2025-03-27,2025-03-30,2025-04-04,,353,IN_PROGRESS,LOW,44.4,api,"user43, user35",52,136
1572,Design schema,Create relational schema for new feature,2024-12-20,2024-12-22,2024-12-28,,185,IN_PROGRESS,MEDIUM,24.1,database,"user16, user47, user18",79,68
1573,Add rate limiting,Protect endpoints with request limits,2024-11-18,2024-11-23,2024-12-11,,350,IN_PROGRESS,LOW,53.6,api,"user21, user4, user50",39,140
1574,Document API,Write OpenAPI docs for endpoints,2025-02-12,2025-02-14,2025-02-19,,312,IN_PROGRESS,LOW,43.0,api,"user41, user42",52,167
1575,Implement React component,Create responsive component with hooks,2025-03-24,2025-03-28,2025-04-02,2025-03-30,344,DONE,HIGH,100.0,frontend,"user10, user21, user47",96,285
1576,Implement React component,Create responsive component with hooks,2025-04-01,2025-04-02,2025-04-19,,198,IN_PROGRESS,MEDIUM,30.8,frontend,user18,3,157
1577,Setup integration tests,Test service interactions end-to-end,2025-05-06,2025-05-06,2025-05-13,,127,IN_PROGRESS,MEDIUM,13.5,testing,"user9, user40, user42",52,79
1578,Implement API endpoint,Develop REST endpoint for user service,2025-03-26,2025-03-27,2025-04-12,2025-04-12,2848,DONE,MEDIUM,100.0,backend,"user26, user21, user12",61,2579
1579,Write unit tests,Cover business logic with JUnit,2025-01-30,2025-02-04,2025-02-18,,448,IN_PROGRESS,MEDIUM,17.3,testing,user26,39,245
1580,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-01-20,2025-01-25,2025-02-13,,2116,TO_DO,LOW,0.0,devops,"user23, user7",21,0
1581,Implement API endpoint,Develop REST endpoint for user service,2024-12-16,2024-12-18,2025-01-04,,1636,IN_PROGRESS,CRITICAL,70.1,backend,"user47, user17",19,645
1582,Fix login bug,Resolve null pointer in login logic,2024-11-19,2024-11-22,2024-12-11,,237,TO_DO,HIGH,0.0,bug,user7,76,0
1583,Write unit tests,Cover business logic with JUnit,2025-04-08,2025-04-09,2025-04-27,2025-04-25,186,DONE,LOW,100.0,testing,user44,26,194
1584,Add rate limiting,Protect endpoints with request limits,2025-01-17,2025-01-19,2025-02-01,2025-01-30,359,DONE,LOW,100.0,api,user33,89,411
1585,Migrate data,Transfer data from legacy system,2025-02-08,2025-02-12,2025-02-22,,87,TO_DO,LOW,0.0,database,"user18, user36, user40",65,0
1586,Add rate limiting,Protect endpoints with request limits,2025-01-07,2025-01-12,2025-01-29,,448,IN_PROGRESS,LOW,59.6,api,"user22, user13, user24",96,234
1587,Implement API endpoint,Develop REST endpoint for user service,2024-11-15,2024-11-19,2024-11-28,,2014,TO_DO,MEDIUM,0.0,backend,user26,36,0
1588,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-01-18,2025-01-20,2025-01-25,,71,IN_PROGRESS,MEDIUM,64.5,frontend,user21,76,45
1589,Immediate API fix,Resolve endpoint failure immediately,2025-04-14,2025-04-16,2025-04-26,,1897,IN_PROGRESS,MEDIUM,61.0,urgent,"user40, user17",46,1436
1590,Document API,Write OpenAPI docs for endpoints,2025-03-03,2025-03-04,2025-03-15,2025-03-14,391,DONE,LOW,100.0,api,"user31, user22",61,331
1591,Optimize DB queries,Improve performance of complex joins,2025-02-05,2025-02-09,2025-02-27,,1979,IN_PROGRESS,MEDIUM,76.0,backend,"user17, user14",3,1288
1592,Document API,Write OpenAPI docs for endpoints,2025-02-05,2025-02-05,2025-02-16,,272,TO_DO,MEDIUM,0.0,api,"user24, user29",47,0
1593,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-02-21,2025-02-26,2025-03-15,,819,IN_PROGRESS,MEDIUM,39.1,devops,"user47, user19, user26",98,338
1594,Implement API endpoint,Develop REST endpoint for user service,2025-03-08,2025-03-09,2025-03-13,,832,ARCHIVED,LOW,100.0,backend,user28,14,0
1595,Fix login bug,Resolve null pointer in login logic,2025-03-22,2025-03-24,2025-04-07,,417,IN_PROGRESS,CRITICAL,48.8,bug,"user42, user35, user33",89,206
1596,Design schema,Create relational schema for new feature,2025-01-23,2025-01-25,2025-02-14,,147,IN_PROGRESS,LOW,54.0,database,"user49, user5, user9",33,83
1597,Write unit tests,Cover business logic with JUnit,2025-03-29,2025-03-31,2025-04-04,,452,TO_DO,MEDIUM,0.0,testing,user46,42,0
1598,Migrate data,Transfer data from legacy system,2025-01-03,2025-01-05,2025-01-25,,61,IN_PROGRESS,MEDIUM,36.8,database,"user20, user36",77,36
1599,Design schema,Create relational schema for new feature,2025-01-26,2025-01-31,2025-02-16,,97,IN_PROGRESS,MEDIUM,11.2,database,"user26, user27, user46",56,42
1600,Urgent hotfix,Patch production bug under SLA,2025-02-22,2025-02-24,2025-03-10,,841,TO_DO,MEDIUM,0.0,urgent,"user37, user13",71,0
1601,Setup integration tests,Test service interactions end-to-end,2025-04-30,2025-05-01,2025-05-15,,213,IN_PROGRESS,MEDIUM,14.3,testing,"user48, user42, user21",35,153
1602,Fix login bug,Resolve null pointer in login logic,2024-12-02,2024-12-05,2024-12-18,,391,TO_DO,LOW,0.0,bug,"user48, user34",67,0
1603,Migrate data,Transfer data from legacy system,2024-11-22,2024-11-23,2024-11-29,,191,IN_PROGRESS,LOW,58.8,database,"user27, user37",17,95
1604,Fix login bug,Resolve null pointer in login logic,2024-12-18,2024-12-22,2025-01-06,,466,IN_PROGRESS,HIGH,40.0,bug,user9,45,335
1605,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-02-03,2025-02-04,2025-02-09,,1065,IN_PROGRESS,LOW,71.5,devops,"user19, user12, user32",84,679
1606,Setup integration tests,Test service interactions end-to-end,2024-12-21,2024-12-21,2025-01-01,,385,IN_PROGRESS,LOW,74.6,testing,"user26, user45, user43",15,180
1607,Write unit tests,Cover business logic with JUnit,2024-12-04,2024-12-09,2024-12-21,,89,BLOCKED,MEDIUM,13.8,testing,user28,94,0
1608,Implement React component,Create responsive component with hooks,2025-01-23,2025-01-26,2025-02-11,,264,IN_PROGRESS,MEDIUM,65.6,frontend,"user50, user13",47,112
1609,Design schema,Create relational schema for new feature,2025-01-15,2025-01-16,2025-01-29,,372,IN_PROGRESS,HIGH,44.6,database,"user8, user23, user2",90,136
1610,Migrate data,Transfer data from legacy system,2025-03-09,2025-03-09,2025-03-22,2025-03-20,395,DONE,HIGH,100.0,database,"user42, user44",16,402
1611,Migrate data,Transfer data from legacy system,2024-12-13,2024-12-14,2025-01-01,,77,IN_PROGRESS,MEDIUM,63.9,database,"user32, user21",22,28
1612,Implement JWT auth,Add token-based authentication,2024-12-14,2024-12-15,2025-01-04,,126,IN_PROGRESS,CRITICAL,55.6,security,user4,62,86
1613,Debug memory leak,Track and fix memory usage issue,2025-01-26,2025-01-31,2025-02-07,,229,IN_PROGRESS,LOW,21.7,bug,user49,65,108
1614,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-01-27,2025-01-27,2025-02-01,,2613,ARCHIVED,MEDIUM,100.0,devops,user22,17,0
1615,Design schema,Create relational schema for new feature,2025-03-20,2025-03-23,2025-03-29,,299,IN_PROGRESS,MEDIUM,10.2,database,user9,94,226
1616,Implement React component,Create responsive component with hooks,2025-05-09,2025-05-14,2025-05-17,2025-05-14,109,DONE,LOW,100.0,frontend,"user48, user38, user9",75,104
1617,Setup integration tests,Test service interactions end-to-end,2024-11-23,2024-11-26,2024-11-30,,100,IN_PROGRESS,LOW,84.9,testing,"user29, user14, user2",96,75
1618,Migrate data,Transfer data from legacy system,2025-05-02,2025-05-02,2025-05-09,,127,IN_PROGRESS,MEDIUM,45.8,database,"user38, user39, user5",93,65
1619,Implement React component,Create responsive component with hooks,2025-04-07,2025-04-09,2025-04-12,,430,IN_PROGRESS,CRITICAL,70.0,frontend,user9,88,314
1620,Immediate API fix,Resolve endpoint failure immediately,2024-11-29,2024-11-29,2024-12-19,,860,TO_DO,LOW,0.0,urgent,"user28, user6, user47",86,0
1621,Implement API endpoint,Develop REST endpoint for user service,2025-02-04,2025-02-07,2025-02-17,,1960,IN_PROGRESS,MEDIUM,43.4,backend,"user42, user21, user12",54,1329
1622,Design schema,Create relational schema for new feature,2025-04-15,2025-04-15,2025-04-22,,236,TO_DO,HIGH,0.0,database,"user8, user11",22,0
1623,Write unit tests,Cover business logic with JUnit,2025-01-09,2025-01-13,2025-01-26,2025-01-26,244,DONE,CRITICAL,100.0,testing,"user8, user47, user29",24,281
1624,Urgent hotfix,Patch production bug under SLA,2024-12-24,2024-12-29,2025-01-04,,2467,TO_DO,MEDIUM,0.0,urgent,"user36, user6, user27",33,0
1625,Debug memory leak,Track and fix memory usage issue,2025-02-11,2025-02-15,2025-02-28,,120,IN_PROGRESS,LOW,19.1,bug,"user8, user17, user26",80,57
1626,Write unit tests,Cover business logic with JUnit,2025-04-17,2025-04-18,2025-04-25,2025-04-23,183,DONE,LOW,100.0,testing,"user46, user32",88,150
1627,Document API,Write OpenAPI docs for endpoints,2025-04-07,2025-04-10,2025-04-21,,245,TO_DO,CRITICAL,0.0,api,"user23, user39",53,0
1628,Write unit tests,Cover business logic with JUnit,2025-03-01,2025-03-01,2025-03-12,,129,IN_PROGRESS,HIGH,28.5,testing,user17,33,45
1629,Optimize DB queries,Improve performance of complex joins,2025-04-28,2025-05-03,2025-05-23,,2460,IN_PROGRESS,LOW,20.1,backend,"user22, user10",46,1539
1630,Implement API endpoint,Develop REST endpoint for user service,2024-12-09,2024-12-13,2024-12-21,,1548,TO_DO,LOW,0.0,backend,"user6, user49, user11",55,0
1631,Write unit tests,Cover business logic with JUnit,2025-02-03,2025-02-06,2025-02-17,,339,IN_PROGRESS,LOW,19.0,testing,user39,33,243
1632,Immediate API fix,Resolve endpoint failure immediately,2025-03-26,2025-03-26,2025-03-31,,1181,TO_DO,LOW,0.0,urgent,"user25, user20, user36",71,0
1633,Implement React component,Create responsive component with hooks,2024-12-09,2024-12-10,2024-12-17,,277,IN_PROGRESS,HIGH,30.7,frontend,user3,86,195
1634,Urgent hotfix,Patch production bug under SLA,2025-04-23,2025-04-28,2025-05-05,2025-05-02,1290,DONE,LOW,100.0,urgent,user20,94,1072
1635,Document API,Write OpenAPI docs for endpoints,2025-04-25,2025-04-25,2025-04-29,,77,IN_PROGRESS,MEDIUM,85.6,api,user37,29,54
1636,Design schema,Create relational schema for new feature,2025-01-07,2025-01-08,2025-01-15,2025-01-14,356,DONE,MEDIUM,100.0,database,user46,11,411
1637,Setup integration tests,Test service interactions end-to-end,2025-02-22,2025-02-24,2025-03-15,,370,IN_PROGRESS,LOW,48.9,testing,"user40, user26, user37",11,243
1638,Configure Docker,Containerize the application,2025-04-02,2025-04-05,2025-04-24,,1558,IN_PROGRESS,LOW,45.9,devops,user2,13,694
1639,Debug memory leak,Track and fix memory usage issue,2025-05-02,2025-05-07,2025-05-24,,378,TO_DO,CRITICAL,0.0,bug,"user24, user41",53,0
1640,Urgent hotfix,Patch production bug under SLA,2025-04-21,2025-04-21,2025-04-27,,1461,IN_PROGRESS,CRITICAL,17.4,urgent,"user32, user46, user17",67,1033
1641,Fix login bug,Resolve null pointer in login logic,2025-02-05,2025-02-10,2025-02-28,,135,BLOCKED,MEDIUM,7.4,bug,"user48, user19, user46",28,0
1642,Implement API endpoint,Develop REST endpoint for user service,2025-01-28,2025-02-01,2025-02-06,,2461,IN_PROGRESS,HIGH,27.1,backend,"user46, user41",46,1405
1643,Immediate API fix,Resolve endpoint failure immediately,2024-12-02,2024-12-05,2024-12-19,,2525,IN_PROGRESS,LOW,32.0,urgent,"user15, user2, user37",21,1199
1644,Debug memory leak,Track and fix memory usage issue,2025-01-16,2025-01-16,2025-01-19,,95,IN_PROGRESS,LOW,25.2,bug,user17,73,68
1645,Implement JWT auth,Add token-based authentication,2025-02-22,2025-02-22,2025-03-02,2025-03-02,259,DONE,LOW,100.0,security,user41,63,225
1646,Migrate data,Transfer data from legacy system,2025-03-26,2025-03-26,2025-04-02,,285,IN_PROGRESS,LOW,20.2,database,"user13, user43, user48",3,182
1647,Add rate limiting,Protect endpoints with request limits,2025-04-06,2025-04-11,2025-04-14,2025-04-11,157,DONE,HIGH,100.0,api,"user18, user28, user46",94,186
1648,Implement JWT auth,Add token-based authentication,2025-01-15,2025-01-15,2025-01-23,,371,IN_PROGRESS,LOW,27.2,security,user47,25,256
1649,Document API,Write OpenAPI docs for endpoints,2025-04-04,2025-04-06,2025-04-12,,379,IN_PROGRESS,LOW,44.7,api,"user23, user18, user43",47,250
1650,Write unit tests,Cover business logic with JUnit,2025-01-29,2025-01-30,2025-02-19,,183,ARCHIVED,MEDIUM,100.0,testing,"user24, user26, user11",100,0
1651,Optimize DB queries,Improve performance of complex joins,2025-02-09,2025-02-11,2025-03-03,,592,IN_PROGRESS,MEDIUM,29.6,backend,user28,59,287
1652,Add rate limiting,Protect endpoints with request limits,2024-11-13,2024-11-17,2024-11-30,,189,TO_DO,LOW,0.0,api,"user30, user18, user47",67,0
1653,Implement React component,Create responsive component with hooks,2024-12-03,2024-12-06,2024-12-10,,68,TO_DO,HIGH,0.0,frontend,"user46, user48",65,0
1654,Immediate API fix,Resolve endpoint failure immediately,2025-03-21,2025-03-21,2025-04-01,,2395,CANCELLED,MEDIUM,2.0,urgent,user45,14,0
1655,Configure Docker,Containerize the application,2025-04-16,2025-04-17,2025-05-04,,2319,IN_PROGRESS,MEDIUM,65.5,devops,user10,86,1403
1656,Migrate data,Transfer data from legacy system,2025-04-20,2025-04-22,2025-05-11,,456,IN_PROGRESS,LOW,40.3,database,user44,31,237
1657,Debug memory leak,Track and fix memory usage issue,2025-04-17,2025-04-17,2025-04-24,2025-04-23,421,DONE,MEDIUM,100.0,bug,"user6, user33, user14",39,355
1658,Fix login bug,Resolve null pointer in login logic,2025-02-07,2025-02-11,2025-02-28,,179,TO_DO,HIGH,0.0,bug,"user38, user43, user16",98,0
1659,Fix login bug,Resolve null pointer in login logic,2025-02-25,2025-02-25,2025-03-14,,67,IN_PROGRESS,HIGH,12.7,bug,user33,95,44
1660,Setup integration tests,Test service interactions end-to-end,2024-12-15,2024-12-19,2024-12-26,,142,TO_DO,MEDIUM,0.0,testing,"user8, user41, user9",15,0
1661,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2024-11-30,2024-12-03,2024-12-13,2024-12-11,2426,DONE,MEDIUM,100.0,devops,"user27, user7, user36",11,2573
1662,Migrate data,Transfer data from legacy system,2024-12-31,2025-01-01,2025-01-09,,397,IN_PROGRESS,MEDIUM,11.5,database,"user15, user40, user46",95,239
1663,Apply security patch,Update libraries for vulnerability,2025-04-07,2025-04-09,2025-04-22,2025-04-19,269,DONE,LOW,100.0,security,"user19, user36, user34",25,311
1664,Debug memory leak,Track and fix memory usage issue,2025-02-19,2025-02-21,2025-03-03,,80,IN_PROGRESS,MEDIUM,51.6,bug,"user44, user19",76,38
1665,Implement React component,Create responsive component with hooks,2025-02-09,2025-02-14,2025-02-22,,330,TO_DO,HIGH,0.0,frontend,user38,17,0
1666,Add rate limiting,Protect endpoints with request limits,2024-11-20,2024-11-25,2024-12-08,2024-12-05,333,DONE,MEDIUM,100.0,api,"user22, user10, user13",85,325
1667,Implement React component,Create responsive component with hooks,2024-12-12,2024-12-12,2024-12-28,2024-12-27,275,DONE,MEDIUM,100.0,frontend,"user28, user42",30,326
