id,title,description,creationDate,lastModifiedDate,startDate,dueDate,completedDate,estimationTime,status,priority,progress,updatedBy,createdBy,projectId,userStory,totalTimeSpent,assignedUserIds,tags,dependencies
116,Add logging mechanism,Add logging mechanism. Home effort form bad. Suggest begin right couple environmental purpose owner. Could seven right next.,2025-04-01,2025-04-03,2025-04-06,2025-04-19,,49,BLOCKED,CRITICAL,83.87,bba2dac3-65ba-4ca8-980c-9bc53fb51436,0a193a5e-031a-41cf-800e-f9981bf4b29b,1046,2005,5,"ca5680d2-9480-4a52-81a8-ae5bfef3a2f7,9f290cfa-2db0-40c2-8fa4-539bffa45ab6,ef3905b3-ac0d-4e9b-b06b-0edca04dcadc","backend,ci/cd",
117,Implement UI component,Implement UI component. Field training deep couple scientist section. Trial receive region however dream focus executive.,2025-03-24,2025-03-24,2025-03-26,2025-04-06,2025-03-26,189,COMPLETED,MEDIUM,100.0,ababf123-aa9c-44a0-8797-008a14bf9b42,afe5b809-4ad0-43c2-8fbf-44b29f547ba6,1012,2050,185,"efab314a-575b-4408-8182-40586eba8075,c449fef8-6fcf-43bf-ad69-7f45296034f1,270a948a-a202-4b7c-8404-13e54a5bc04d","security,ux",
118,Migrate UI component,Migrate UI component. Final growth third letter sort reveal. Trial have including none determine certainly. Network once result far cultural.,2025-03-23,2025-03-26,2025-03-24,2025-03-30,,263,ARCHIVED,MEDIUM,3.99,ed72f812-fc68-4159-89fc-ca53b4bc19ce,86086866-1766-4f51-8988-94551fe9563b,1077,2065,9,"6862cdc2-bfe6-458b-9ec8-838b02ece800,b6019890-b8ea-45df-b864-43248fb99065",security,
119,Add backend service,Add backend service. Street material pressure range either start whom. Leave run goal cause national contain threat. Model stuff avoid stand.,2025-02-28,2025-03-02,2025-03-02,2025-03-07,,116,BLOCKED,CRITICAL,50.22,ac721a0d-8c4f-42c2-8431-a6f78bb0ada9,903ea701-e2b0-43ee-9be6-daf2cf598643,1002,2047,14,"6071ba1e-1e59-40d8-8cc6-528334c4648f,f486acde-c30b-4a74-8f5c-0de1c1a4973f,8dc579fa-1e86-4ed2-84a6-50e892cff09a","docker,frontend",
120,Fix backend service,Fix backend service. Case piece attack character despite lay.,2025-02-10,2025-02-11,2025-02-14,2025-02-21,,108,CANCELED,LOW,26.29,572bd99c-6c8d-4fbd-a1eb-562d329ddfd0,cc2888d0-aa2d-4f22-8db9-a0cc018ef5b3,1074,2061,0,"2e8fb1c2-2b60-437a-aa16-ffc5a5ab36a2,339b9230-9891-443e-888b-927a20802bd5,814f2434-1b73-44d1-90b2-e57cf7c22bf8",ux,
121,Refactor API endpoint,Refactor API endpoint. Tree process administration mother in admit reveal movie. Admit spend purpose south travel. Truth modern drive people. Spring environment however health image.,2025-02-11,2025-02-14,2025-02-15,2025-03-02,,105,BLOCKED,MEDIUM,56.68,082345f9-a4c0-490a-81f9-ba67e1dfeac6,4d5aa123-da2b-46bc-8a99-eb1094315ce4,1052,2064,13,2f8070aa-ddb4-4b8c-bb02-fad703097ac4,"performance,backend,devops","41,54"
122,Integrate logging mechanism,Integrate logging mechanism. Feel stock ball yard practice. Behavior here need.,2025-04-01,2025-04-03,2025-04-05,2025-04-13,,205,CANCELED,CRITICAL,31.06,2dc8b1ac-3bf8-493f-b715-05d2cd588f18,113e9d91-7906-4972-8877-1ccd798ac00f,1024,2031,0,"64041d1d-033f-4026-bb54-0f660317192f,bd84c548-2947-403c-9404-46537cf66434,b9ec6899-a040-4a04-bcd8-97ccef5c6f46","ux,api","44,70,46"
123,Update email system,Update email system. Bar suddenly population former.,2025-02-11,2025-02-13,2025-02-13,2025-02-28,2025-02-13,98,COMPLETED,HIGH,100.0,b971d225-3542-4aec-80cd-d6321c6b2dba,b4db584d-be93-49ef-8055-58bfb34a3ef7,1015,2073,97,"04125bd2-42d9-48a9-b09e-696538522a06,9a14113a-c9c5-4719-83da-d920602495be,a07227dc-5e27-4d4e-ac9b-69ef98842025","ux,testing,docker",
124,Add security layer,Add security layer. Try discover top realize note even under. Tonight nor allow up fire.,2025-04-30,2025-05-03,2025-05-01,2025-05-08,,118,TODO,MEDIUM,91.48,b5835eb1-cc15-4a44-9d1e-86564f35f468,eb5ca30b-e072-477e-8932-80a0f4382746,1025,2068,0,"d0bf7ac2-929b-4cb3-b034-846aedb9dfec,59b00379-4d25-474e-b5bd-5fc421dfc527,9ec64d51-7b6f-496e-bf74-2a898d80ab7a","ux,api",
125,Update API endpoint,Update API endpoint. Sell require huge baby. Nor note support quality. Forward sense cause write right may window. Best discussion away.,2025-02-26,2025-02-26,2025-03-02,2025-03-16,,50,ARCHIVED,CRITICAL,66.31,1a4d8b03-b54f-4c92-b946-df44d7d091ed,7f60dd12-2146-4c48-81ed-60bae73a69f4,1042,2091,33,fc88435f-7aba-4d46-93e5-2f7ff10529ac,"frontend,docker",
126,Design email system,Design email system. However similar ahead event yeah make green wait. Control one herself sign far east. Bank child Republican plant. First blood accept final growth especially.,2025-04-05,2025-04-06,2025-04-05,2025-04-16,,261,IN_PROGRESS,LOW,64.4,161d7551-f0f7-4e42-a309-258c110f07f2,4745308f-9928-4a55-8854-413d3950736d,1022,2053,147,fadb2bc5-f9ac-45af-9575-70150810c3ee,backend,"83,8"
127,Refactor unit tests,Refactor unit tests. Issue news mention billion. Government behavior our foot.,2025-02-18,2025-02-21,2025-02-21,2025-03-08,,106,BLOCKED,MEDIUM,0.92,9dd3b71f-b16d-46dc-ac3b-3137ef3dec0f,28edbcd0-8803-44fc-8dea-e199ea537d9a,1064,2059,12,"7dbe850f-9b83-4e62-aa5b-6a8b34eb6dc8,d39d7c23-4fa7-4574-918d-4e39dbaa3e0e,931a97a5-8ecd-4e8a-834b-5651c66acb1b","cloud,frontend","37,59"
128,Add user service,Add user service. Including single right nice yeah.,2025-03-15,2025-03-16,2025-03-20,2025-03-30,,50,CANCELED,MEDIUM,72.93,0d17dfd2-cf56-4f4a-a0f6-26e8a014899b,b8d59a60-2847-4789-aeb2-5648c049239a,1078,2081,0,"c3fc5e4d-63e4-4ac3-9e17-369c9933bc37,df925899-fa1a-4d19-b1b6-4aad64953249,f068d680-70a5-45a2-aa6b-8ea70926e38a","testing,ux",
129,Refactor user service,Refactor user service. College herself catch feeling manage as itself. Feel site guess want result many. Crime blood fight we forward per sound forget.,2025-03-01,2025-03-03,2025-03-04,2025-03-17,,283,TODO,HIGH,32.04,8d752a22-d196-4fb8-94d1-e064521bc4f3,f461c9ae-e30b-4532-978d-3ca6fb15a00d,1038,2074,0,"91ed4f74-36d5-4764-8734-a0e97074b85a,9aa1488a-82c4-49ef-99aa-9e5aa274ec83","ci/cd,backend,api","99,61"
130,Implement email system,Implement email system. Carry fly water cut fire who why fact. Whose site for exactly skill half usually. Or nation race nearly well.,2025-03-10,2025-03-12,2025-03-15,2025-03-21,,138,TODO,LOW,15.81,8ee090fe-d8f6-4310-a35e-f3785fdd6470,82250cca-3e4d-494b-a18d-90cb641e1484,1081,2037,0,"454915ef-9eb8-46bf-8e39-53d3f8d47153,4366d062-3b10-4118-85df-a8c5f6353ccf,d9ef784b-774a-4a45-bdd2-f731f5872b2c","ci/cd,cloud",
131,Integrate backend service,Integrate backend service. Something story attorney summer some pull. Plan drug probably resource.,2025-03-22,2025-03-23,2025-03-23,2025-04-02,,170,IN_PROGRESS,MEDIUM,41.17,b2a5d5c1-b763-4d99-b60c-0d9f6a3e6107,d26ea29d-f71f-43ad-b9f2-22870b75e6cd,1087,2096,70,"8ace7442-cfdb-4bd7-9efa-815a73bafce6,410675eb-79ba-45a6-93ae-cccc531cfcb6,cafdb5a2-87a1-48af-a844-35ce65d7c02e","frontend,ux,performance",
132,Implement authentication module,Implement authentication module. Last our old move. Myself so growth time Mr point. Body eat professor coach.,2025-04-23,2025-04-25,2025-04-25,2025-04-29,,200,ARCHIVED,CRITICAL,89.39,162134f4-63e2-4e16-b2e7-15fa0a6923d8,6dabd98d-5fd7-4402-9add-ea6d742f9218,1014,2087,168,4e3a887f-c04d-4812-8b9e-86fe3d22afa1,kubernetes,
133,Fix email system,Fix email system. Worker quality hundred sell whole involve action.,2025-04-06,2025-04-08,2025-04-06,2025-04-17,,66,BLOCKED,LOW,50.81,f7149b4e-b4c9-429d-a669-e4ed20a90d1d,eb7d596f-7c02-40dc-b0c1-e566cc9feb87,1095,2027,6,"9fb53c5f-a73d-480b-b981-1736b716f45c,9bd61869-37da-489b-9006-a7230925f9f6","frontend,backend,testing","79,6"
134,Implement email system,Implement email system. Section newspaper reach determine hear leg quickly. Character young lot far turn beat story.,2025-03-03,2025-03-06,2025-03-03,2025-03-14,,81,TODO,CRITICAL,28.42,a505fef2-16be-4704-aad9-dfff7df58f8f,f8437dac-f4d3-4415-bf05-ae61abc28df2,1048,2048,0,"f53c0f02-083a-4906-8dd8-34b3110bb573,880da11a-7e9c-4fde-a346-97922bef5127",docker,108
135,Improve security layer,Improve security layer. Find lay deal lot live just. Five feel special boy support possible quality.,2025-04-17,2025-04-18,2025-04-21,2025-04-26,,105,CANCELED,LOW,98.29,86ff35c4-6d8a-492a-b42f-c5da903ec306,366002e9-c2bb-4bf5-8521-7648863a298b,1096,2002,0,1e6609ba-e421-4387-a958-028529d788d2,"performance,docker",
136,Update API endpoint,Update API endpoint. Company civil nice when discussion if continue. How scene third last involve above.,2025-02-21,2025-02-21,2025-02-24,2025-03-07,,123,BLOCKED,LOW,34.27,3d9f54e0-d3dc-47b5-99d3-d891696f8c47,4a65c7a4-4867-40f8-bf5c-fedecafab3ad,1084,2053,11,"d8fdecaf-bad5-427a-ad7c-8d1aeee0d95c,7e82320d-fdb4-4692-9ec6-2240c6168abd,0d76fae0-4a8c-4710-9397-3bd0f1d19dca","backend,cloud,docker",
137,Fix API endpoint,Fix API endpoint. Sell speak artist big the. Hand culture box provide.,2025-02-26,2025-02-27,2025-03-02,2025-03-05,,50,BLOCKED,HIGH,39.82,5dfc275c-9d75-439d-b6e9-6b528c189d99,adb6715b-a5a6-4adb-900e-43ee94e46e99,1073,2076,3,,"security,cloud,api",36
138,Design unit tests,Design unit tests. Others particularly only girl suddenly pay. Try opportunity public finish draw. Consumer really memory industry.,2025-03-25,2025-03-28,2025-03-30,2025-04-10,,156,IN_PROGRESS,CRITICAL,6.03,277c94ba-ad11-4667-8791-6d18d003c6d0,a57257f8-88a1-42e4-a049-0faaf478e67f,1006,2044,10,b07e70b3-ff36-44d7-954d-f89fb16566e9,"docker,testing,ux",
139,Add UI component,Add UI component. Institution main Mr try us community. Majority cell fire late. Tend weight machine.,2025-02-19,2025-02-20,2025-02-22,2025-03-03,,85,IN_PROGRESS,CRITICAL,74.69,815cc619-3978-41f1-8bb7-d0deed95bbf9,5f22bf88-605b-4b47-90b3-a927ec12d3eb,1007,2071,63,"0a3eb275-d8ac-4de0-8eeb-32cab61c37af,06b0b0a3-0b3d-45ec-8c2c-da6555dd56f4","testing,ux",
140,Update database model,Update database model. Measure manager range indeed style major bar. Somebody determine allow. Mrs collection leader score she.,2025-02-24,2025-02-24,2025-02-27,2025-03-05,2025-02-27,157,COMPLETED,MEDIUM,100.0,96c4721f-2809-4ca1-afc3-9b7d2b57f47e,dbb14bc0-531f-4a8a-ad83-ba7defe66cf0,1006,2034,130,"66d407bb-8218-4924-8192-89ff5187711e,b1c09cf2-f020-4b9c-9aeb-7294677e18ec","docker,ci/cd",
141,Migrate API endpoint,Migrate API endpoint. Of environmental myself yard. State among rest national wrong bill stop. Fear yourself last give stage.,2025-03-31,2025-04-01,2025-03-31,2025-04-06,,254,ARCHIVED,MEDIUM,20.68,25564d2c-84c5-450f-b2a3-8c9c4b5fca8d,0d8a5531-1456-495e-b950-c97202fa2efc,1094,2015,56,e9be4a08-55ff-41f3-9221-55251b8ec673,"performance,cloud,ci/cd",
142,Improve unit tests,Improve unit tests. Decide scene ready technology particular. Coach cause deal deal arrive go.,2025-03-20,2025-03-23,2025-03-23,2025-03-29,,157,ARCHIVED,CRITICAL,46.16,960dbd98-60a3-44da-8335-f1d536962afd,854b0dae-85d9-4751-878d-162452509cd0,1012,2092,74,"9c8c7c79-6522-4c0d-9d3b-61a8f92f94eb,15d8854c-d3f5-4137-af76-4e5d5736d25d","security,cloud",
143,Update user service,Update user service. Collection without fall of weight method too. Career seek in arrive. Term camera tend economic represent. Seven put majority officer environmental.,2025-03-05,2025-03-07,2025-03-08,2025-03-11,,44,ARCHIVED,MEDIUM,25.82,b5ffb148-f56d-4f4e-86a4-6e35969591da,ea0485d1-3305-499c-90f2-b2e7ec6ac9eb,1025,2042,12,"1e61cd6b-d38b-4c19-8c45-e18f715738f8,38e3e7bd-4e82-488f-a60d-f1e8835c8ff4",testing,
144,Improve unit tests,Improve unit tests. Away some shoulder idea seek reason theory. Wear force able similar run room learn. Sure somebody huge why station manager.,2025-03-18,2025-03-20,2025-03-19,2025-03-29,,185,ARCHIVED,MEDIUM,95.68,85e40e43-722b-405e-b0d4-096773266d4c,4095891d-2cb3-432c-aaac-abbd969fd5b0,1017,2092,182,ea1d05b1-4125-4695-b7f2-12d967df917b,"performance,devops,ux",
145,Implement authentication module,Implement authentication module. Natural candidate system small thus several. Between six least.,2025-03-09,2025-03-09,2025-03-09,2025-03-20,,61,TODO,MEDIUM,40.83,e1f5b7ae-798b-453a-b104-6076ae684b6f,87f5fd5a-46c9-4461-9a8f-d7a673df5986,1001,2027,0,51e47f1f-82c4-4fcc-b5e5-b82db9e7d412,"performance,security,backend",
146,Integrate authentication module,Integrate authentication module. Lead yeah into yet travel think. City usually ever pressure economy.,2025-02-18,2025-02-21,2025-02-23,2025-03-07,,80,BLOCKED,MEDIUM,52.69,59c9e61b-1b50-4e2d-9b30-a4431fe1381c,36c6f38c-b6de-4791-8353-5e1f38d83bd3,1013,2012,7,2120a96d-1990-4d75-afbd-eb3f27c4eda0,"devops,cloud,docker","71,138,74"
147,Design security layer,Design security layer. How figure record. Investment before believe degree back.,2025-03-14,2025-03-15,2025-03-16,2025-03-24,2025-03-16,186,COMPLETED,HIGH,100.0,df69647f-5d4a-4651-9e66-fe85b5c284a7,f71b82aa-6d94-4b86-ab7e-011a0733b279,1087,2010,220,0a06f5db-4c27-4f21-8698-897d9cd872d7,"docker,backend,frontend",
148,Fix authentication module,Fix authentication module. Quite act receive stage write institution car. Director become south billion.,2025-04-04,2025-04-04,2025-04-07,2025-04-18,,143,BLOCKED,LOW,16.97,8615e10b-6dfc-4ce9-a374-331c34284cdb,8b05ff7e-0e46-4594-ad85-5f0d49658d4e,1029,2027,17,"d9ef8e50-7b51-4884-8352-1ad3cc4f2b39,f78d0c64-a922-4c66-a785-3ae0ded6e356","ci/cd,performance,api",
149,Migrate backend service,Migrate backend service. Him spend themselves political. Attention none particular clearly.,2025-03-13,2025-03-14,2025-03-13,2025-03-26,,319,COMPLETED,MEDIUM,100.0,860d7939-4087-4389-aa18-b63e51b8ea57,fb3f3505-5f48-4666-a8da-7dfee9224dfc,1096,2091,259,"093e9821-e162-43e2-a6e2-31ae30f98d66,fb9e8bed-1e56-4531-a4a8-6cb30ba33460","frontend,api",
150,Migrate database model,Migrate database model. Security turn pattern kind describe to cause but. Goal investment social easy popular easy.,2025-03-12,2025-03-12,2025-03-13,2025-03-25,,221,BLOCKED,HIGH,74.81,be1eb748-a0ca-4ccb-ad6e-9be95f8b0451,562f4ee2-94de-4296-88db-e4ba39fbb299,1006,2012,15,"694965ac-3389-4c13-8ed5-72bfc6926264,2ffb53d0-1dbc-4181-89ff-9767da26a154,b8fa206e-4c84-480f-b007-c4bb29dd0009","cloud,frontend",
151,Improve authentication module,Improve authentication module. Expect wait agree suggest then day parent country. Far approach today west manager both. Point audience thousand activity guess first hit. Inside national common likely would authority onto.,2025-04-05,2025-04-08,2025-04-09,2025-04-21,,222,BLOCKED,CRITICAL,27.06,f3056368-422e-458f-b589-249972479f35,11afdc95-7ac0-46b3-9268-78b78afd885e,1023,2087,44,"484df5d4-1888-48b2-864b-8cc2ea480788,5534447e-3a28-46ab-acc2-7517886ba464","docker,testing,frontend",
152,Implement security layer,Implement security layer. Always art smile media pick. Short interest I policy Mrs check base.,2025-02-07,2025-02-10,2025-02-09,2025-02-24,,128,IN_PROGRESS,HIGH,15.27,9135166b-6c9b-4b6a-a7b5-b72597895fee,0fbdb33e-3c33-4c5b-8502-6827d9ec8cde,1046,2013,20,"f792e5bf-ad45-4894-9079-8d9b05d00512,47ac8705-6743-443f-95ff-3a0ce85b538f,8a48c80f-cc5b-4c52-b99a-a96143ed6ecf",backend,
153,Implement user service,Implement user service. Window choice force only shake. Financial join well draw. Beat its law participant finally.,2025-02-13,2025-02-16,2025-02-16,2025-02-24,2025-02-16,82,COMPLETED,LOW,100.0,7ba14a1f-53d2-49f2-ad17-2180cf892e52,427265a1-792e-4b32-b049-7c2ef7ead7b0,1003,2011,71,"9dc45ea4-ea0e-49ba-8d13-fda12769f588,6bdbbd81-0b3f-429c-8363-4c68d9ebf66a,8ab560d2-03b6-4706-b473-fab08aa53247","ux,frontend",
154,Add UI component,Add UI component. Actually case activity market. Mission situation result cold camera sit.,2025-04-19,2025-04-20,2025-04-21,2025-04-30,,127,TODO,MEDIUM,77.14,6eb6e51e-d7bc-47d6-9e97-713ccb97e7de,da55169a-4505-45a5-970e-c8db70575952,1087,2048,0,"cfc4f01d-35a0-4ab3-9611-3f703c043470,8fbe383c-8e7a-4dbc-b7c4-ec72ac509384,c72b52c0-ea10-4f2c-bebf-6cba5a373e07",devops,
155,Implement user service,Implement user service. Friend investment model. Republican office baby lawyer growth.,2025-03-04,2025-03-06,2025-03-06,2025-03-16,,171,IN_PROGRESS,MEDIUM,27.32,232888ab-0f83-4104-80e8-2e761e7cdd7d,9a6ca3d4-d24d-437f-abeb-dbacbb33a17a,1092,2080,44,"60e0b9ba-5d50-411f-9b63-e4e135a1d5d4,6c4d51ab-066a-4b01-bcc8-b7dc5e575351","ci/cd,kubernetes",
156,Fix UI component,Fix UI component. Happy effort bill off. Direction meeting analysis television. Animal hair turn condition whether.,2025-03-26,2025-03-29,2025-03-26,2025-03-31,2025-03-26,87,COMPLETED,HIGH,100.0,37c463b4-4346-4ea1-b2fd-20ba08c9fa22,ecfdd1e9-f69d-4090-8326-81f4db9f3196,1055,2083,98,"6e5d47cd-7680-4079-bb1a-b8294741bd87,7f9a7d1a-1131-4e92-a2d6-23aac4ec72ab","devops,api,security",
157,Improve user service,Improve user service. Different eat trouble floor step number. Maybe top conference source. West attention let.,2025-02-09,2025-02-10,2025-02-14,2025-02-20,,161,BLOCKED,HIGH,95.9,d6f56c7a-33b3-46fe-823c-e98c8caa457a,3ef208a9-b3a6-4a54-9a52-ee42f438b405,1048,2035,15,"df57f46f-a0c7-4ff5-a187-4abe0a040289,087b6067-2237-4b24-919c-d286bd83fd32","security,frontend",
158,Refactor logging mechanism,Refactor logging mechanism. Beat lead hard factor six science. Less option management significant crime.,2025-03-05,2025-03-07,2025-03-06,2025-03-18,,85,ARCHIVED,LOW,94.35,27037f23-5827-4655-a138-55a8a27fcfba,25553fb4-31f7-4f2c-a423-c60c1ecbc35b,1052,2086,79,"d78912be-89bc-44a8-a7cb-45d5c01c9373,1717ad77-f9d3-418d-ba3b-e240134b10c6","devops,docker",
159,Design UI component,Design UI component. Character usually agency must player. Week ability price. Billion morning draw man art.,2025-05-04,2025-05-07,2025-05-06,2025-05-19,,93,IN_PROGRESS,LOW,44.46,132577ed-cffd-4c65-a13d-58d089fe6074,7052c439-4715-41aa-83a0-22135ee981c2,1046,2089,42,"74bc5aae-f97a-4be7-92ff-8cb6f0c785af,5261a443-0eb6-434e-ab23-b5a4627ef757,612c59d7-e41e-437b-acc8-3e6b2a895106","ci/cd,docker,frontend",
160,Improve user service,Improve user service. Analysis discuss suddenly including. Learn security oil measure PM hour.,2025-02-19,2025-02-22,2025-02-20,2025-03-05,,225,CANCELED,HIGH,60.66,65e71b18-96e9-4326-84f6-84694b443493,58d2c108-2ba9-4257-9dbb-c201a33474aa,1055,2013,0,"5e5254c1-f467-4ce9-b224-cd44a2fd1ca0,c74f104e-ca14-4901-96af-c3ceec1f05af,22a9b0c1-687b-4504-aba6-6f8318949e28",frontend,
161,Migrate backend service,Migrate backend service. Itself who door end. Unit hotel story for laugh do. Carry show board black last.,2025-04-04,2025-04-05,2025-04-08,2025-04-22,,330,ARCHIVED,HIGH,56.95,05bd57d2-16cd-4de5-8bb6-be6936605fc9,1d54e867-7e8f-4940-92bc-ef096c06e731,1003,2061,185,"fc78adf6-1143-4422-9fb6-2034543daf09,524ed403-6cbd-4e91-be50-607d69128b17,8ac38ef1-27bf-4296-a653-985fddcea42b",api,
162,Refactor database model,Refactor database model. Movie who debate final. System bed space fight relate. American structure foreign before eat green message quality.,2025-03-08,2025-03-11,2025-03-08,2025-03-12,,180,CANCELED,HIGH,33.96,7c5ccecf-1ada-42ec-babf-f28ae2157d98,58026ccf-4f8e-4543-a077-02a468ed301f,1060,2012,0,"0d4f3209-4bb3-443f-93cd-f484d4fa3fa5,461d5d59-44c3-444e-a401-bf461223eb63,bf8d9858-c600-49aa-a2a6-927e945b2a3a","kubernetes,performance",
163,Implement authentication module,Implement authentication module. Weight take new. Economic left sound cause activity store work.,2025-03-03,2025-03-04,2025-03-05,2025-03-08,,147,CANCELED,MEDIUM,64.15,9fc5c703-d454-4f87-874c-dc3b657013da,1fe591b9-5c21-4fcc-a185-da2aa245595b,1070,2020,0,2bb6db8f-af00-4756-b2fc-73068ab6834b,"ux,testing",
164,Refactor user service,Refactor user service. Head piece popular old else spend. Young cup position.,2025-02-18,2025-02-21,2025-02-19,2025-03-06,,289,BLOCKED,CRITICAL,65.07,cc57acfa-75a9-4512-b402-8d028f853d97,67f22585-7137-443f-ac9f-54ed8951b58a,1049,2000,31,c52c5575-f993-4f73-991b-d53746a22fde,"cloud,kubernetes,api",
165,Migrate user service,Migrate user service. Toward stop former amount. Anything under item right many him interview.,2025-04-25,2025-04-28,2025-04-25,2025-05-07,,214,TODO,HIGH,32.27,052c37d3-448d-48b1-a256-12c3918b8503,b1a85421-12b1-48a8-a539-7a2ace226e73,1076,2049,0,"8cbb860a-d143-4264-b25d-139415d344ec,1ca5174a-adff-49a9-83ce-7d5777274d07","testing,ci/cd,frontend",
166,Add backend service,Add backend service. Every land chance pass. Early far include nearly article evidence case current.,2025-03-12,2025-03-13,2025-03-15,2025-03-27,,201,IN_PROGRESS,CRITICAL,8.39,a7ee17aa-310d-4cf6-b888-340e98688c5a,09ada60e-5d3c-44f4-8636-50823a976784,1053,2076,13,"ba189a5c-eebd-4d1e-8e25-cfea3de93588,5bcebb67-2284-4468-b7be-18288bddeccc",ci/cd,"30,47"
167,Migrate user service,Migrate user service. Piece soon some writer site. Look sit general not focus establish. Five despite time.,2025-05-02,2025-05-02,2025-05-03,2025-05-13,,338,CANCELED,HIGH,16.52,7f16cd63-c9af-4c9b-857d-ffd3b17e2c01,31ef6235-9f63-49fd-b3df-d171ef7b644a,1001,2062,0,"183a6661-9960-43e0-95b5-6e861867cdae,6223c8e6-23ac-44a2-b8de-a672bbce9807",cloud,81
168,Integrate UI component,Integrate UI component. Speak line group once. Wind beyond prevent entire staff.,2025-04-22,2025-04-25,2025-04-26,2025-05-07,,258,CANCELED,MEDIUM,48.68,0eff1ec8-3948-4e3c-a97b-9d48e732513b,dc99e495-ee7c-4643-8b1a-17992c989a33,1010,2072,0,"6e6b538d-0946-4483-ba3f-03faa67f4296,b56d41ee-0190-44af-afcd-b6abc0f533b2",cloud,
169,Add user service,Add user service. Offer work home very yard. Compare or south recently.,2025-05-06,2025-05-06,2025-05-08,2025-05-14,,141,ARCHIVED,LOW,56.0,386f955b-6d15-4c87-9900-1864c686eb8f,8dab55da-8229-4177-b8a3-378989c145a1,1034,2099,83,"03720278-0201-4444-aa04-1d09beb5668c,8978f426-4284-4b18-a35a-7d0852d31514,36d7c934-c446-49d1-97d0-55c11c236abc","security,ux,backend",
170,Design security layer,Design security layer. Region goal nothing. None could write think. My compare also argue own after long. Truth cut candidate response try such.,2025-05-05,2025-05-07,2025-05-08,2025-05-19,,272,IN_PROGRESS,HIGH,74.38,4bb29ba4-c80e-4e4d-bacb-bbc6a4f9a50b,7daf4c9a-e661-4910-bf1c-220ecbb08693,1011,2056,194,"3493586a-afd7-46bf-b36a-5eb3fcf82105,205f1beb-3b0f-4a02-ba73-2a049d288680",cloud,
171,Improve backend service,Improve backend service. Challenge relate center. Suffer team whether health.,2025-03-09,2025-03-10,2025-03-14,2025-03-26,,221,CANCELED,LOW,42.39,97a4be88-657b-46ec-b0bc-f01600d74a85,492274e9-4103-4e87-bb90-1f824837a4b3,1072,2044,0,386013ed-732a-45bd-8bcf-68e7d9e50e20,"api,ci/cd,ux",
172,Add logging mechanism,Add logging mechanism. Big few carry church we social whether power. Religious no threat party. Development open compare fill read camera.,2025-04-11,2025-04-12,2025-04-16,2025-04-23,2025-04-16,223,COMPLETED,MEDIUM,100.0,62598dce-34a4-4de2-a633-cc1156b21f08,3e9ed363-79ac-4ea3-b7bf-4c6309201216,1031,2018,209,"d70ea1af-1b8c-412c-a1bf-e6f14c5e97b4,01a991cd-1137-4d93-9653-e1ac2e652005,9f81b922-b30b-45a3-9c7e-cca561453538","security,cloud,testing","16,71"
173,Design UI component,Design UI component. Hot yes whole allow own TV whose.,2025-04-17,2025-04-20,2025-04-21,2025-05-04,2025-04-21,210,COMPLETED,HIGH,100.0,be536331-fe57-4d0f-8242-7e1a9451074c,1cae0b37-fd89-48b8-9d9d-4a761cbffe3d,1088,2047,174,443a9f53-bab5-4022-a362-d851e35862db,"performance,security",
174,Integrate database model,Integrate database model. View cell seat draw. Collection those become remember police though. Activity decide really go skin result answer.,2025-02-27,2025-02-28,2025-03-04,2025-03-08,,83,CANCELED,CRITICAL,78.77,3c8274c6-6184-4394-bc85-e987a92a8adc,69273ee2-3f49-4a2a-9ad8-c11858e39ba6,1034,2041,0,"ff3e6690-30ff-4aa0-a058-ad64373a9c83,a12cde73-b217-43ff-b6af-1bd234c024a3","security,ux",
175,Fix authentication module,Fix authentication module. This manage her national. Stock small official serve. Class available suffer far five.,2025-03-20,2025-03-20,2025-03-24,2025-04-03,2025-03-24,51,COMPLETED,MEDIUM,100.0,c6dca1f2-30c5-48f3-bd0e-f58651c29ed0,9388bca3-e589-40d4-92e0-ae9a176c5489,1056,2058,53,c50ec05b-88c9-4cf6-a909-ba619cf9661f,testing,
176,Add user service,Add user service. Color heart rule natural together behavior. World throw relate issue president parent its approach.,2025-02-16,2025-02-18,2025-02-21,2025-02-26,,104,CANCELED,MEDIUM,9.24,2c6f7d70-497e-45bb-8c39-be1f1a88f43d,5dd8ee29-860d-4573-8fa6-5257ece32b74,1006,2050,0,03f29318-8651-4154-af32-bde6ae09920c,"api,cloud,testing",
177,Update email system,Update email system. Important never understand music produce. Down anyone occur style child.,2025-03-10,2025-03-13,2025-03-15,2025-03-19,,66,TODO,MEDIUM,13.14,ffe515d3-1553-465a-aab9-2333726de58a,fe8127eb-c70f-48e7-9c30-9ecdc0b1102a,1061,2009,0,4c370d9b-99c2-40be-8526-3e2f13940ac7,testing,"114,3,88"
178,Improve unit tests,Improve unit tests. Because station person lose best deal.,2025-03-13,2025-03-13,2025-03-17,2025-03-13,2025-03-13,95,COMPLETED,LOW,100.0,4e66031c-fe2f-42f3-a7aa-afadf5b0b528,76a1c9a1-18ee-4544-b44e-5e474099c043,1078,2083,90,f0f2ddb1-b5f4-4ccc-bafe-2d28670e0d30,performance,
